id,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
37,Zamfara,18,37,0,55,252,40,292,475,Q4 2020,Zamfara,Q4 2020,40.0,0,2,1,0,5.0,2.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
38,Abia,16,23,5,44,119,35,154,289,Q1 2021,Abia,Q1 2021,7.0,0,10,1,4,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
39,Adamawa,11,73,0,84,251,21,272,437,Q1 2021,Adamawa,Q1 2021,60.0,0,7,0,0,4.0,0.0,16.0,0.0,0.0,5.0,14.0,1.0,0.0,0.0,0.0,3.0
40,Akwa Ibom,7,12,3,22,35,12,47,117,Q1 2021,Akwa Ibom,Q1 2021,15.0,0,0,0,3,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
41,Anambra,9,55,16,80,147,9,156,575,Q1 2021,Anambra,Q1 2021,59.0,0,6,1,21,0.0,0.0,6.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0
42,Bauchi,52,78,1,131,634,115,749,1138,Q1 2021,Bauchi,Q1 2021,77.0,0,16,3,0,0.0,1.0,18.0,15.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,14.0
43,Bayelsa,0,6,1,7,15,0,15,29,Q1 2021,Bayelsa,Q1 2021,7.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,Benue,10,27,15,52,123,15,138,187,Q1 2021,Benue,Q1 2021,46.0,0,1,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,Borno,8,23,0,31,78,24,102,149,Q1 2021,Borno,Q1 2021,31.0,0,3,0,0,0.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
46,Cross River,12,13,0,25,50,30,80,135,Q1 2021,Cross River,Q1 2021,17.0,0,0,2,2,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Delta,21,39,11,71,196,51,247,482,Q1 2021,Delta,Q1 2021,68.0,1,6,2,7,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0
